Date,State/UnionTerritory,Confirmed
2020/2/1,Kerala,2
2020/2/2,Kerala,3
2020/2/3,Kerala,3
2020/2/4,Kerala,3
2020/2/5,Kerala,3
2020/2/6,Kerala,3
2020/2/7,Kerala,3
2020/2/8,Kerala,3
2020/2/9,Kerala,3
2020/2/10,Kerala,3
2020/2/11,Kerala,3
2020/2/12,Kerala,3
2020/2/13,Kerala,3
2020/2/14,Kerala,3
2020/2/15,Kerala,3
2020/2/16,Kerala,3
2020/2/17,Kerala,3
2020/2/18,Kerala,3
2020/2/19,Kerala,3
2020/2/20,Kerala,3
2020/2/21,Kerala,3
2020/2/22,Kerala,3
2020/2/23,Kerala,3
2020/2/24,Kerala,3
2020/2/25,Kerala,3
2020/2/26,Kerala,3
2020/2/27,Kerala,3
2020/2/28,Kerala,3
2020/2/29,Kerala,3
2020/3/1,Kerala,3
2020/3/2,Telengana,1
2020/3/2,Kerala,3
2020/3/2,Delhi,1
2020/3/3,Telengana,1
2020/3/3,Rajasthan,1
2020/3/3,Kerala,3
2020/3/3,Delhi,1
2020/3/4,Uttar Pradesh,6
2020/3/4,Kerala,3
2020/3/4,Haryana,2
2020/3/4,Delhi,1
2020/3/4,Telengana,1
2020/3/4,Rajasthan,15
2020/3/5,Delhi,2
2020/3/5,Haryana,2
2020/3/5,Kerala,3
2020/3/5,Rajasthan,15
2020/3/5,Telengana,1
2020/3/5,Uttar Pradesh,7
2020/3/6,Delhi,3
2020/3/6,Haryana,2
2020/3/6,Kerala,3
2020/3/6,Rajasthan,15
2020/3/6,Uttar Pradesh,7
2020/3/6,Telengana,1
2020/3/7,Kerala,3
2020/3/7,Uttar Pradesh,7
2020/3/7,Ladakh,2
2020/3/7,Telengana,1
2020/3/7,Tamil Nadu,1
2020/3/7,Delhi,3
2020/3/7,Haryana,2
2020/3/7,Rajasthan,15
2020/3/8,Ladakh,2
2020/3/8,Telengana,1
2020/3/8,Tamil Nadu,1
2020/3/8,Rajasthan,15
2020/3/8,Kerala,8
2020/3/8,Haryana,2
2020/3/8,Delhi,3
2020/3/8,Uttar Pradesh,7
2020/3/9,Ladakh,2
2020/3/9,Karnataka,1
2020/3/9,Kerala,9
2020/3/9,Maharashtra,2
2020/3/9,Punjab,1
2020/3/9,Rajasthan,15
2020/3/9,Tamil Nadu,1
2020/3/9,Telengana,1
2020/3/9,Jammu and Kashmir,1
2020/3/9,Uttar Pradesh,7
2020/3/9,Haryana,2
2020/3/9,Delhi,4
2020/3/10,Uttar Pradesh,7
2020/3/10,Ladakh,2
2020/3/10,Delhi,4
2020/3/10,Haryana,2
2020/3/10,Karnataka,4
2020/3/10,Kerala,15
2020/3/10,Maharashtra,5
2020/3/10,Punjab,1
2020/3/10,Rajasthan,15
2020/3/10,Tamil Nadu,1
2020/3/10,Telengana,1
2020/3/10,Jammu and Kashmir,1
2020/3/11,Maharashtra,2
2020/3/11,Delhi,5
2020/3/11,Haryana,14
2020/3/11,Kerala,17
2020/3/11,Rajasthan,3
2020/3/11,Telengana,1
2020/3/11,Uttar Pradesh,9
2020/3/11,Ladakh,2
2020/3/11,Tamil Nadu,1
2020/3/11,Jammu and Kashmir,1
2020/3/11,Punjab,1
2020/3/11,Karnataka,4
2020/3/12,Delhi,6
2020/3/12,Haryana,14
2020/3/12,Kerala,17
2020/3/12,Rajasthan,3
2020/3/12,Telengana,1
2020/3/12,Uttar Pradesh,11
2020/3/12,Ladakh,3
2020/3/12,Tamil Nadu,1
2020/3/12,Jammu and Kashmir,1
2020/3/12,Punjab,1
2020/3/12,Karnataka,4
2020/3/12,Maharashtra,11
2020/3/12,Andhra Pradesh,1
2020/3/13,Delhi,6
2020/3/13,Haryana,14
2020/3/13,Kerala,19
2020/3/13,Rajasthan,3
2020/3/13,Telengana,1
2020/3/13,Uttar Pradesh,11
2020/3/13,Ladakh,3
2020/3/13,Tamil Nadu,1
2020/3/13,Jammu and Kashmir,1
2020/3/13,Punjab,1
2020/3/13,Karnataka,6
2020/3/13,Maharashtra,14
2020/3/13,Andhra Pradesh,1
2020/3/14,Delhi,7
2020/3/14,Haryana,14
2020/3/14,Kerala,19
2020/3/14,Rajasthan,3
2020/3/14,Telengana,1
2020/3/14,Uttar Pradesh,12
2020/3/14,Ladakh,3
2020/3/14,Tamil Nadu,1
2020/3/14,Jammu and Kashmir,2
2020/3/14,Punjab,1
2020/3/14,Karnataka,6
2020/3/14,Maharashtra,14
2020/3/14,Andhra Pradesh,1
2020/3/15,Andhra Pradesh,1
2020/3/15,Delhi,7
2020/3/15,Haryana,14
2020/3/15,Karnataka,6
2020/3/15,Kerala,22
2020/3/15,Maharashtra,32
2020/3/15,Punjab,1
2020/3/15,Rajasthan,4
2020/3/15,Tamil Nadu,1
2020/3/15,Telengana,3
2020/3/15,Jammu and Kashmir,2
2020/3/15,Ladakh,3
2020/3/15,Uttar Pradesh,13
2020/3/15,Uttarakhand,1
2020/3/16,Andhra Pradesh,1
2020/3/16,Delhi,7
2020/3/16,Haryana,14
2020/3/16,Karnataka,6
2020/3/16,Kerala,23
2020/3/16,Maharashtra,32
2020/3/16,Odisha,1
2020/3/16,Punjab,1
2020/3/16,Rajasthan,4
2020/3/16,Tamil Nadu,1
2020/3/16,Telengana,3
2020/3/16,Jammu and Kashmir,3
2020/3/16,Ladakh,4
2020/3/16,Uttar Pradesh,13
2020/3/16,Uttarakhand,1
2020/3/17,Andhra Pradesh,1
2020/3/17,Delhi,8
2020/3/17,Haryana,15
2020/3/17,Karnataka,11
2020/3/17,Kerala,26
2020/3/17,Maharashtra,39
2020/3/17,Odisha,1
2020/3/17,Punjab,1
2020/3/17,Rajasthan,4
2020/3/17,Tamil Nadu,1
2020/3/17,Telengana,5
2020/3/17,Jammu and Kashmir,3
2020/3/17,Ladakh,6
2020/3/17,Uttar Pradesh,15
2020/3/17,Uttarakhand,1
2020/3/18,Andhra Pradesh,1
2020/3/18,Delhi,10
2020/3/18,Haryana,17
2020/3/18,Karnataka,11
2020/3/18,Kerala,27
2020/3/18,Maharashtra,42
2020/3/18,Odisha,1
2020/3/18,Puducherry,1
2020/3/18,Punjab,1
2020/3/18,Rajasthan,4
2020/3/18,Tamil Nadu,1
2020/3/18,Telengana,6
2020/3/18,Jammu and Kashmir,3
2020/3/18,Ladakh,8
2020/3/18,Uttar Pradesh,16
2020/3/18,Uttarakhand,1
2020/3/18,West Bengal,1
2020/3/19,Andhra Pradesh,2
2020/3/19,Chhattisgarh,1
2020/3/19,Delhi,12
2020/3/19,Haryana,17
2020/3/19,Karnataka,14
2020/3/19,Kerala,27
2020/3/19,Maharashtra,47
2020/3/19,Odisha,1
2020/3/19,Puducherry,1
2020/3/19,Punjab,2
2020/3/19,Rajasthan,7
2020/3/19,Tamil Nadu,2
2020/3/19,Telengana,6
2020/3/19,Chandigarh,1
2020/3/19,Jammu and Kashmir,4
2020/3/19,Ladakh,8
2020/3/19,Uttar Pradesh,19
2020/3/19,Uttarakhand,1
2020/3/19,West Bengal,1
2020/3/20,Andhra Pradesh,3
2020/3/20,Chhattisgarh,1
2020/3/20,Delhi,17
2020/3/20,Gujarat,5
2020/3/20,Haryana,17
2020/3/20,Karnataka,15
2020/3/20,Kerala,28
2020/3/20,Maharashtra,52
2020/3/20,Odisha,2
2020/3/20,Puducherry,1
2020/3/20,Punjab,2
2020/3/20,Rajasthan,17
2020/3/20,Tamil Nadu,3
2020/3/20,Telengana,17
2020/3/20,Chandigarh,1
2020/3/20,Jammu and Kashmir,4
2020/3/20,Ladakh,10
2020/3/20,Uttar Pradesh,23
2020/3/20,Uttarakhand,3
2020/3/20,West Bengal,2
2020/3/21,Andhra Pradesh,3
2020/3/21,Chhattisgarh,1
2020/3/21,Delhi,26
2020/3/21,Gujarat,7
2020/3/21,Haryana,17
2020/3/21,Himachal Pradesh,2
2020/3/21,Karnataka,15
2020/3/21,Kerala,40
2020/3/21,Madhya Pradesh,4
2020/3/21,Maharashtra,63
2020/3/21,Odisha,2
2020/3/21,Puducherry,1
2020/3/21,Punjab,13
2020/3/21,Rajasthan,17
2020/3/21,Tamil Nadu,3
2020/3/21,Telengana,21
2020/3/21,Chandigarh,1
2020/3/21,Jammu and Kashmir,4
2020/3/21,Ladakh,13
2020/3/21,Uttar Pradesh,24
2020/3/21,Uttarakhand,3
2020/3/21,West Bengal,3
2020/3/22,Andhra Pradesh,5
2020/3/22,Bihar,2
2020/3/22,Chhattisgarh,1
2020/3/22,Delhi,29
2020/3/22,Gujarat,18
2020/3/22,Haryana,21
2020/3/22,Himachal Pradesh,2
2020/3/22,Karnataka,26
2020/3/22,Kerala,52
2020/3/22,Madhya Pradesh,4
2020/3/22,Maharashtra,67
2020/3/22,Odisha,2
2020/3/22,Puducherry,1
2020/3/22,Punjab,21
2020/3/22,Rajasthan,24
2020/3/22,Tamil Nadu,7
2020/3/22,Telengana,22
2020/3/22,Chandigarh,5
2020/3/22,Jammu and Kashmir,4
2020/3/22,Ladakh,13
2020/3/22,Uttar Pradesh,27
2020/3/22,Uttarakhand,3
2020/3/22,West Bengal,4
2020/3/23,Andhra Pradesh,7
2020/3/23,Bihar,2
2020/3/23,Chhattisgarh,1
2020/3/23,Delhi,29
2020/3/23,Gujarat,29
2020/3/23,Haryana,26
2020/3/23,Himachal Pradesh,2
2020/3/23,Karnataka,33
2020/3/23,Kerala,67
2020/3/23,Madhya Pradesh,6
2020/3/23,Maharashtra,74
2020/3/23,Odisha,2
2020/3/23,Puducherry,1
2020/3/23,Punjab,21
2020/3/23,Rajasthan,28
2020/3/23,Tamil Nadu,9
2020/3/23,Telengana,32
2020/3/23,Chandigarh,6
2020/3/23,Jammu and Kashmir,4
2020/3/23,Ladakh,13
2020/3/23,Uttar Pradesh,31
2020/3/23,Uttarakhand,3
2020/3/23,West Bengal,7
2020/3/24,Andhra Pradesh,8
2020/3/24,Bihar,3
2020/3/24,Chhattisgarh,1
2020/3/24,Delhi,30
2020/3/24,Gujarat,33
2020/3/24,Haryana,28
2020/3/24,Himachal Pradesh,3
2020/3/24,Karnataka,37
2020/3/24,Kerala,95
2020/3/24,Madhya Pradesh,7
2020/3/24,Maharashtra,89
2020/3/24,Manipur,1
2020/3/24,Odisha,2
2020/3/24,Puducherry,1
2020/3/24,Punjab,29
2020/3/24,Rajasthan,32
2020/3/24,Tamil Nadu,15
2020/3/24,Telengana,35
2020/3/24,Chandigarh,7
2020/3/24,Jammu and Kashmir,4
2020/3/24,Ladakh,13
2020/3/24,Uttar Pradesh,33
