State,Year2020Feb-Apr,Year2020-May-Jul,Year2020-Aug-Oct,Year2020-Nov-Year2021-Jan,Year2021Feb-Apr,Year2021-May-Jul
Andaman and Nicobar Islands,521,8747,295804,439953,456618,653893
Andhra Pradesh,18276,1809335,49638184,80117155,81360520,157753128
Arunachal Pradesh,28,22642,672852,1504401,1507426,2926452
Assam,901,770599,12711293,19675823,19625035,40768862
Bihar,3610,968049,14024166,22255100,25164124,63271341
Chandigarh,814,36939,730601,1686725,2318850,5403037
Chhattisgarh,824,209161,7310168,23429480,33801116,87994851
Dadra and Nagar Haveli and Daman and Diu,0,19722,236234,307842,349347,929040
Delhi,47173,5247218,21499103,52744178,62643010,129244788
Goa,229,116333,2320938,4530279,5271466,14113327
Gujarat,41016,2440057,10706047,20637748,28027580,72492849
Haryana,6242,995319,8919804,22016450,26684500,67254755
Himachal Pradesh,885,67086,999980,4181742,5753077,16956225
Jammu and Kashmir,8893,577525,5204752,10486571,11839445,26457032
Jharkhand,1036,214784,5533371,10279641,11875394,30387399
Karnataka,10029,1972267,43619854,82569007,90924968,237712673
Kerala,13272,444558,14733909,62671131,99086028,243562824
Lakshadweep,0,0,0,702,930273,1716885
Ladakh,704,51569,329179,801594,61408,741140
Madhya Pradesh,32395,1114210,8939964,20274008,27389091,69164558
Maharashtra,108785,13142991,98941463,172140588,240960746,526519258
Manipur,66,71732,833193,2379998,2620529,5589545
Meghalaya,176,12764,408287,1140170,1273236,3778669
Mizoram,37,11081,137453,360025,408194,1599590
Nagaland,2,34472,481530,1035004,1099165,2079980
Odisha,1840,647412,14660711,29569016,30969561,73465132
Puducherry,204,62290,1852306,3445849,3762719,9607850
Punjab,5864,448658,7381234,14484794,19992150,51044470
Rajasthan,33881,1396333,10207206,25592556,31353405,83294872
Sikkim,0,10101,209922,488004,563103,1614310
Tamil Nadu,35540,6630987,46373285,73180415,79807583,197637445
Telengana,19978,1447380,14446945,25374986,28258019,53447016
Tripura,44,114918,1717074,3015464,2992004,5334449
Uttar Pradesh,28674,1965478,28002005,51325568,60333030,152176055
Uttarakhand,1154,196153,3140556,7540613,9444396,29052221
West Bengal,8961,1598672,19414317,46520932,53690974,125026781
