Category,OrderDate,Sales
Bakery,2015/1/3,864
Bakery,2015/1/4,2033
Beverages,2015/1/4,698
Snacks,2015/1/4,759
"Eggs, Meat & Fish",2015/1/5,878
Oil & Masala,2015/1/6,2259
Food Grains,2015/1/6,1243
Snacks,2015/1/6,1504
Snacks,2015/1/6,1495
Oil & Masala,2015/1/6,1113
Fruits & Veggies,2015/1/6,2201
Snacks,2015/1/6,2157
Oil & Masala,2015/1/6,796
"Eggs, Meat & Fish",2015/1/6,1258
Bakery,2015/1/7,1280
"Eggs, Meat & Fish",2015/1/7,1936
Food Grains,2015/1/9,2409
Oil & Masala,2015/1/9,1432
"Eggs, Meat & Fish",2015/1/10,1066
"Eggs, Meat & Fish",2015/1/10,1330
Fruits & Veggies,2015/1/11,2019
Beverages,2015/1/13,1401
"Eggs, Meat & Fish",2015/1/13,1949
Beverages,2015/1/13,2239
Snacks,2015/1/13,1903
Food Grains,2015/1/13,1367
Food Grains,2015/1/13,1497
Food Grains,2015/1/13,610
Oil & Masala,2015/1/13,1767
Bakery,2015/1/13,1073
Oil & Masala,2015/1/13,1594
Beverages,2015/1/13,1520
Food Grains,2015/1/14,1715
Bakery,2015/1/15,1883
Food Grains,2015/1/16,1398
Beverages,2015/1/16,990
Oil & Masala,2015/1/16,2152
"Eggs, Meat & Fish",2015/1/16,1169
Food Grains,2015/1/18,1353
Snacks,2015/1/19,1064
Fruits & Veggies,2015/1/19,513
Bakery,2015/1/19,2205
Beverages,2015/1/19,743
Bakery,2015/1/20,1840
Fruits & Veggies,2015/1/20,2294
Beverages,2015/1/20,603
Oil & Masala,2015/1/20,1813
"Eggs, Meat & Fish",2015/1/20,1100
Oil & Masala,2015/1/20,1148
Fruits & Veggies,2015/1/20,1629
Fruits & Veggies,2015/1/20,1272
Oil & Masala,2015/1/20,2054
Beverages,2015/1/20,1785
"Eggs, Meat & Fish",2015/1/20,2126
Bakery,2015/1/20,2350
Bakery,2015/1/20,767
Beverages,2015/1/20,1768
"Eggs, Meat & Fish",2015/1/20,2325
Beverages,2015/1/20,1393
Bakery,2015/1/20,1973
Food Grains,2015/1/21,2312
"Eggs, Meat & Fish",2015/1/23,2314
Bakery,2015/1/23,1604
Food Grains,2015/1/26,1384
Beverages,2015/1/26,666
Snacks,2015/1/26,1354
Fruits & Veggies,2015/1/26,2122
Snacks,2015/1/26,2431
Fruits & Veggies,2015/1/26,1050
Food Grains,2015/1/26,1991
Oil & Masala,2015/1/26,1350
Oil & Masala,2015/1/26,1916
Fruits & Veggies,2015/1/27,1394
Bakery,2015/1/27,2370
Beverages,2015/1/27,540
Snacks,2015/1/28,636
Fruits & Veggies,2015/1/30,2262
Fruits & Veggies,2015/1/30,1906
"Eggs, Meat & Fish",2015/1/31,1820
Beverages,2015/2/1,1338
Fruits & Veggies,2015/2/2,525
Snacks,2015/2/2,612
Oil & Masala,2015/2/2,904
Oil & Masala,2015/2/3,1015
Oil & Masala,2015/2/3,1546
Bakery,2015/2/4,512
Oil & Masala,2015/2/4,1033
Food Grains,2015/2/4,1871
"Eggs, Meat & Fish",2015/2/6,1863
"Eggs, Meat & Fish",2015/2/6,2477
Oil & Masala,2015/2/6,1592
Fruits & Veggies,2015/2/6,1699
Fruits & Veggies,2015/2/7,740
Snacks,2015/2/7,1724
Snacks,2015/2/8,1624
Food Grains,2015/2/11,1209
"Eggs, Meat & Fish",2015/2/11,2333
Beverages,2015/2/11,2010
Snacks,2015/2/11,1695
"Eggs, Meat & Fish",2015/2/11,1772
Bakery,2015/2/11,1151
Snacks,2015/2/11,2261
"Eggs, Meat & Fish",2015/2/11,1337
Bakery,2015/2/11,1774
Food Grains,2015/2/12,2142
"Eggs, Meat & Fish",2015/2/14,652
Bakery,2015/2/14,1392
Bakery,2015/2/14,1809
Bakery,2015/2/14,1275
"Eggs, Meat & Fish",2015/2/15,1460
Fruits & Veggies,2015/2/16,2490
Fruits & Veggies,2015/2/16,2003
Fruits & Veggies,2015/2/17,1090
Food Grains,2015/2/18,547
Snacks,2015/2/18,527
Beverages,2015/2/20,602
Fruits & Veggies,2015/2/20,1808
Oil & Masala,2015/2/20,1319
Oil & Masala,2015/2/21,1896
"Eggs, Meat & Fish",2015/2/22,1618
Food Grains,2015/2/23,2085
Food Grains,2015/2/23,1120
Snacks,2015/2/24,946
